name,experience,salary,region
Data Analyst / Аналитик данных,От 1 года до 3 лет,Не указана,Москва
Младший python-разработчик,От 1 года до 3 лет,85000 RUR,Санкт-Петербург
Technical Support Engineer,От 1 года до 3 лет,1700 USD,Москва
Junior Web реверс-инженер,От 1 года до 3 лет,Не указана,Красноярск
Middle Python разработчик [ЛК Моя Мотивация B2B],От 1 года до 3 лет,Не указана,Москва
Разработчик Linux на С/С++/Python,От 1 года до 3 лет,Не указана,Москва
Аналитик,От 1 года до 3 лет,143550 RUR,Москва
Front-end разработчик,От 1 года до 3 лет,Не указана,Санкт-Петербург
Аналитик по отчетности,От 1 года до 3 лет,Не указана,Москва
Стажер в Команду машинного обучения,Нет опыта,Не указана,Санкт-Петербург
Программист-математик,Нет опыта,30000 RUR,Красноярск
Младший исследователь данных (DS NLP) / стажер,Нет опыта,35000 RUR,Москва
Python разработчик для LLM,От 1 года до 3 лет,Не указана,Москва
Программист,Нет опыта,60000 RUR,Москва
Frontend разработчик (React),От 3 до 6 лет,Не указана,Москва
Стажер в отдел тестирования (тестировщик),От 1 года до 3 лет,Не указана,Москва
Инженер технической поддержки (гибридный график),От 1 года до 3 лет,100000 RUR,Москва
Программист,От 1 года до 3 лет,40000 RUR,Самара
Программист Python,От 1 года до 3 лет,Не указана,Москва
Python разработчик,От 1 года до 3 лет,150000 RUR,Томск
Frontend-разработчик,От 3 до 6 лет,Не указана,Москва
Backend Developer,От 1 года до 3 лет,Не указана,Москва
Product Manager,От 3 до 6 лет,Не указана,Москва
"Менеджер проектов, Реклама",От 1 года до 3 лет,Не указана,Москва
Backend PHP-разработчик,От 1 года до 3 лет,Не указана,Тамбов
Программист Python,Нет опыта,None RUR,Москва
Научный сотрудник (специалист по машинному обучению),От 1 года до 3 лет,Не указана,Москва
Python Developer,От 1 года до 3 лет,60000 RUR,Екатеринбург
Программист-разработчик Backend и Frontend,Нет опыта,50000 RUR,Уфа
"Junior+/Middle Backend-разработчик IT продукта (Python, fastapi, mongodb)",От 1 года до 3 лет,50000 RUR,Москва
Middle Python Django,От 1 года до 3 лет,None RUR,Москва
Разработчик Python,От 1 года до 3 лет,50000 RUR,Екатеринбург
Prompt инженер (продукт AI),От 1 года до 3 лет,Не указана,Москва
DevOps engineer,От 3 до 6 лет,2000 EUR,Москва
Программист,От 1 года до 3 лет,50000 RUR,Мурманск
Разработчик С++ Junior,От 1 года до 3 лет,None RUR,Москва
Аналитик,От 1 года до 3 лет,None RUR,Москва
Сетевой инженер по тестированию,От 1 года до 3 лет,120000 RUR,Москва
Python developer (г. Новосибирск),От 1 года до 3 лет,Не указана,Новосибирск
Backend-разработчик (Python),От 1 года до 3 лет,None RUR,Москва
Инженер по тестированию,От 1 года до 3 лет,Не указана,Санкт-Петербург
Программист (г. Курган),Нет опыта,50000 RUR,Курган
Backend-разработчик Python (FastAPI/Flask),Нет опыта,35000 RUR,Ростов-на-Дону
QA Engineer / Специалист по ручному тестированию,От 1 года до 3 лет,Не указана,Санкт-Петербург
Python Backend Developer (Middle/Remote),От 1 года до 3 лет,None RUR,Москва
Инженер (веб-разработчик),Нет опыта,90000 RUR,Курск
"Аналитик данных, г. Омск",От 1 года до 3 лет,55000 RUR,Омск
Бизнес аналитик (аналитик данных),Нет опыта,60000 RUR,Якутск
Middle Backend Python программист,От 1 года до 3 лет,Не указана,Москва
Python-разработчик (Pre Middle / Middle),От 1 года до 3 лет,60000 RUR,Тюмень
Инженер-программист,От 1 года до 3 лет,Не указана,Астрахань
Junior Data Analyst (СберKids),От 1 года до 3 лет,Не указана,Москва
Тестировщик ПО,От 3 до 6 лет,140000 RUR,Москва
SQL/PostgreSQL/Python-разработчик (Junior/Middle/Senior),От 1 года до 3 лет,87600 RUR,Омск
QA Engineer,От 1 года до 3 лет,Не указана,Красноярск
Разработчик-лингвист (MTS AI),Нет опыта,Не указана,Москва
Python-разработчик,От 3 до 6 лет,None RUR,Санкт-Петербург
"Technical Support (L2, L3)",От 1 года до 3 лет,None EUR,Санкт-Петербург
Системный администратор,От 3 до 6 лет,110000 RUR,Екатеринбург
Разработчик программного обеспечения (Javascript),От 1 года до 3 лет,None RUR,Уфа
Python разработчик,От 3 до 6 лет,200000 RUR,Санкт-Петербург
ML developer,Нет опыта,Не указана,Москва
Инженер (веб-разработчик),Нет опыта,90000 RUR,Липецк
Бэкенд разработчик (Backend Developer),От 1 года до 3 лет,150000 RUR,Москва
Python Django разработчик,От 3 до 6 лет,Не указана,Москва
RPA разработчик,От 1 года до 3 лет,Не указана,Москва
Chief Technology Officer/CTO,Более 6 лет,800000 RUR,Москва
Frontend developer,От 3 до 6 лет,200000 RUR,Москва
Middle Python-разработчик,От 1 года до 3 лет,None RUR,Москва
Программист-разработчик,От 1 года до 3 лет,150000 RUR,Санкт-Петербург
Ученик web-разработчик,Нет опыта,Не указана,Таганрог
Специалист по работе с медицинской информационной системой,От 1 года до 3 лет,80000 RUR,Санкт-Петербург
Python Backend Developer,От 1 года до 3 лет,110000 RUR,Москва
Разработчик микросервисов (Middle+/Senior) На подработку,Более 6 лет,300000 RUR,Санкт-Петербург
Программист Python,От 1 года до 3 лет,Не указана,Москва
Python разработчик (middle),От 3 до 6 лет,180000 RUR,Новосибирск
Трейдер HFT (высокочастотная торговля алгоритмический),От 3 до 6 лет,110000 RUR,Москва
"Стажер-разработчик ETL, Отдел разработки Хранилища данных, Платформа данных",Нет опыта,Не указана,Москва
Сервис-менеджер,От 3 до 6 лет,Не указана,Москва
Back-end разработчик,От 1 года до 3 лет,90000 RUR,Москва
Продакт Разработчик React.js AI (Удаленно),От 3 до 6 лет,150000 RUR,Москва
Java Developer,От 1 года до 3 лет,Не указана,Москва
Python разработчик,От 1 года до 3 лет,Не указана,Москва
Middle Python Developer,От 3 до 6 лет,None RUR,Москва
Tech Lead ML,От 3 до 6 лет,Не указана,Москва
Тестировщик ПО,От 1 года до 3 лет,Не указана,Москва
Backend-разработчик,От 1 года до 3 лет,Не указана,Москва
Программист,От 1 года до 3 лет,Не указана,Дзержинск (Нижегородская область)
Junior Python разработчик,От 1 года до 3 лет,60000 RUR,Санкт-Петербург
QA Engineer/Инженер по тестированию (решения видеонаблюдения/CCTV),От 1 года до 3 лет,Не указана,Москва
Инженер сопровождения,От 1 года до 3 лет,Не указана,Москва
Python-разработчик,Нет опыта,Не указана,Москва
Project/Руководитель IT проекта,От 3 до 6 лет,2000 USD,Санкт-Петербург
QA Engineer,От 1 года до 3 лет,Не указана,Москва
Middle Backend Python разработчик,От 1 года до 3 лет,100000 RUR,Москва
Middle+/Senior Python developer,От 3 до 6 лет,Не указана,Москва
Системный аналитик,От 3 до 6 лет,None RUR,Москва
Аналитик,От 1 года до 3 лет,75000 RUR,Москва
Разработчик БПЛА,От 1 года до 3 лет,160000 RUR,Москва
Младший разработчик по Computer Vision (Junior Computer Vision Developer),Нет опыта,Не указана,Москва
Python разработчик,От 1 года до 3 лет,40000 RUR,Екатеринбург
Разработчик ИСУ (Интеллектуальная Система Управления),От 1 года до 3 лет,Не указана,Самара
ML-инженер,От 3 до 6 лет,Не указана,Москва
Data Scientist (штаб В2С),Нет опыта,Не указана,Москва
Системный администратор / DevOps,От 1 года до 3 лет,230000 RUR,Москва
Инженер по сопровождению / SRE,От 1 года до 3 лет,Не указана,Москва
QA Engineer,От 1 года до 3 лет,Не указана,Сочи
QA manual middle | Ручной тестировщик (middle),От 1 года до 3 лет,None RUR,Казань
Программист Python - Middle,От 3 до 6 лет,120000 RUR,Москва
Backend Developer (Python),От 1 года до 3 лет,100000 RUR,Санкт-Петербург
Разработчик Unreal Engine,От 1 года до 3 лет,200000 RUR,Москва
ML - Аналитик,От 1 года до 3 лет,Не указана,Москва
Python разработчик,Нет опыта,None RUR,Москва
Аналитик,От 1 года до 3 лет,Не указана,Москва
Python разработчик,От 3 до 6 лет,Не указана,Москва
Frontend-разработчик (middle) ЕАС,От 1 года до 3 лет,Не указана,Москва
Python backend developer,От 1 года до 3 лет,50000 RUR,Санкт-Петербург
Python-разработчик (Middle),От 1 года до 3 лет,100000 RUR,Ростов-на-Дону
DevOps инженер,Нет опыта,Не указана,Москва
Тестировщик ПО (QA),От 1 года до 3 лет,Не указана,Ростов-на-Дону
Python Developer (Extranet),От 1 года до 3 лет,Не указана,Москва
Бэкенд-разработчик,От 1 года до 3 лет,59100 RUR,Саратов
Разработчик Python // Cпециалист в DI,От 1 года до 3 лет,Не указана,Москва
Middle django-разработчик (Удаленно),От 1 года до 3 лет,120000 RUR,Москва
Junior Devops engineer,От 1 года до 3 лет,Не указана,Москва
Embedded Developer (по разработке прикладного ПО оптико-электронных систем на С++),От 1 года до 3 лет,Не указана,Таганрог
Game Analyst (Product Analyst),От 1 года до 3 лет,Не указана,Москва
Middle Python Developer,От 3 до 6 лет,180000 RUR,Москва
Python developer джун+ / миддл- (в офис),От 1 года до 3 лет,100000 RUR,Екатеринбург
Full Stack QA Engineer,От 1 года до 3 лет,80000 RUR,Москва
"Frontend разработчик (проект ""Сервис подсказок"")",От 3 до 6 лет,Не указана,Москва
Frontend разработчик Middle+/Senior,От 3 до 6 лет,170000 RUR,Москва
CTO / Технический директор,Более 6 лет,Не указана,Санкт-Петербург
Инженер данных / Data Engineer,От 3 до 6 лет,Не указана,Москва
Программист микроконтроллеров,Нет опыта,50000 RUR,Краснодар
Функциональный тестировщик,От 1 года до 3 лет,Не указана,Москва
Системный администратор Unix (Remote),От 1 года до 3 лет,1500 EUR,Москва
Системный аналитик,От 1 года до 3 лет,150000 RUR,Санкт-Петербург
Head of QA,От 3 до 6 лет,Не указана,Санкт-Петербург
Игровой аналитик (продуктовый аналитик),От 1 года до 3 лет,Не указана,Москва
"DevOps инженер / sysadmin, удаленно",От 1 года до 3 лет,140000 RUR,Москва
Middle Frontend developer (работа в Новосибирске),От 1 года до 3 лет,Не указана,Новосибирск
С++ разработчик,От 3 до 6 лет,380000 RUR,Москва
Программист C#,От 3 до 6 лет,150000 RUR,Екатеринбург
Разработчик Python,От 1 года до 3 лет,Не указана,Челябинск
Ruby on Rails Developer Job Description Template,От 1 года до 3 лет,100000 RUR,Санкт-Петербург
Python-разработчик,От 3 до 6 лет,None RUR,Екатеринбург
Junior DS/DE в Риски Сбера,Нет опыта,Не указана,Новосибирск
"Backend developer (Python, FastAPI)",От 1 года до 3 лет,Не указана,Москва
Инженер-программист Банка,От 1 года до 3 лет,50000 RUR,Саратов
Python-разработчик (fullstack),Нет опыта,130000 RUR,Уфа
Системный администратор/DevOps,От 1 года до 3 лет,100000 RUR,Санкт-Петербург
Инженер по автоматизации тестирования Python,От 3 до 6 лет,2200 USD,Москва
Junior Fullstack-разработчик,От 1 года до 3 лет,50000 RUR,Владивосток
QA Engineer (junior/ middle),От 1 года до 3 лет,90000 RUR,Санкт-Петербург
Продуктовый аналитик в команду железнодорожного сервиса путешествий,От 1 года до 3 лет,Не указана,Москва
Backend-разработчик,От 1 года до 3 лет,Не указана,Белгород
Руководитель международного риск-направления / Head of risk,От 3 до 6 лет,Не указана,Москва
Разработчик Python (Middle),От 3 до 6 лет,Не указана,Ярославль
Продуктовый аналитик,От 1 года до 3 лет,Не указана,Москва
Backend developer (python),От 1 года до 3 лет,Не указана,Санкт-Петербург
Python-разработчик (middle+),От 3 до 6 лет,Не указана,Москва
Тестировщик банковского ПО,От 1 года до 3 лет,Не указана,Москва
DevOps Инженер,От 1 года до 3 лет,100000 RUR,Москва
Начинающий системный администратор,Нет опыта,40000 RUR,Екатеринбург
Backend-разработчик Python,От 1 года до 3 лет,Не указана,Челябинск
Project manager,От 3 до 6 лет,Не указана,Санкт-Петербург
Junior Site Reliability Engineer,От 1 года до 3 лет,75000 RUR,Санкт-Петербург
Python программист,От 1 года до 3 лет,70000 RUR,Владивосток
Программист-стажер,Нет опыта,20000 RUR,Москва
"Разработчик С#, Логистика, Системы управления сетью ПВЗ",От 1 года до 3 лет,Не указана,Москва
Разработчик чат-ботов (Python Developer),От 3 до 6 лет,None USD,Москва
Frontend-разработчик (Middle) СОВА,От 3 до 6 лет,Не указана,Москва
Тестировщик,От 1 года до 3 лет,Не указана,Москва
Middle/Senior C++ Developer (Виртуализация),От 1 года до 3 лет,Не указана,Москва
BI-разработчик,От 1 года до 3 лет,Не указана,Санкт-Петербург
Ассистент аналитика,От 1 года до 3 лет,None RUR,Москва
Бизнес-аналитик,От 3 до 6 лет,180000 RUR,Иннополис
Web Developer (Python/Django),От 1 года до 3 лет,90000 RUR,Санкт-Петербург
Разработчик на Python / Python Developer,От 1 года до 3 лет,Не указана,Санкт-Петербург
Full stack разработчик (Python),От 3 до 6 лет,Не указана,Москва
Backend разработчик Python,От 3 до 6 лет,Не указана,Жуковский
Инженер по тестированию / QA Engineer,От 1 года до 3 лет,Не указана,Москва
Middle QA Engineer,От 1 года до 3 лет,Не указана,Екатеринбург
Python Middle developer,От 3 до 6 лет,Не указана,Нижний Новгород
Project manager в ZM Team,От 1 года до 3 лет,Не указана,Москва
Backend developer (Golang),От 1 года до 3 лет,Не указана,Ростов-на-Дону
Product Analyst (Мобильное приложение),От 1 года до 3 лет,Не указана,Москва
QA Engineer в VK Cloud Storage,От 3 до 6 лет,Не указана,Москва
Backend разработчик [C# or Python],Нет опыта,60000 RUR,Санкт-Петербург
DevOps/системный администратор (удаленно),От 3 до 6 лет,None RUR,Москва
Инженер программист Fullstack (офис),От 1 года до 3 лет,Не указана,Санкт-Петербург
Разработчик (Python),От 1 года до 3 лет,Не указана,Москва
Продуктовый аналитик (игры),От 1 года до 3 лет,200000 RUR,Москва
Программист С++,От 3 до 6 лет,130000 RUR,Краснодар
Системный администратор,От 1 года до 3 лет,Не указана,Москва
ML - инженер/Дата - аналитик,От 1 года до 3 лет,Не указана,Москва
Игровой Аналитик / Game Analyst,От 3 до 6 лет,Не указана,Санкт-Петербург
Python Developer,От 1 года до 3 лет,Не указана,Москва
Продуктовый аналитик,Более 6 лет,350000 RUR,Москва
Разработчик С++,От 1 года до 3 лет,Не указана,Москва
Инженер по сопровождению,От 1 года до 3 лет,Не указана,Москва
Аналитик по источникам данных (уязвимостей),От 1 года до 3 лет,Не указана,Москва
Разработчик Python / Django (Middle),От 3 до 6 лет,120000 RUR,Москва
Full Stack QA Engineer,От 1 года до 3 лет,80000 RUR,Махачкала
Программист Python,От 1 года до 3 лет,150000 RUR,Москва
Программист,От 1 года до 3 лет,60000 RUR,Ханты-Мансийск
Middle python backend developer,От 3 до 6 лет,140000 RUR,Москва
Программист C/С++,Более 6 лет,None RUR,Москва
Python Developer Middle / Senior (удаленно),От 3 до 6 лет,Не указана,Москва
Стажер - разработчик SQL (BI),Нет опыта,Не указана,Москва
Senior Full Stack Developer,Более 6 лет,None RUR,Москва
