name,experience,salary,region
Разработчик Python/С#,От 3 до 6 лет,Не указана,Санкт-Петербург
Продуктовый аналитик,От 1 года до 3 лет,Не указана,Краснодар
Fullstack-разработчик,От 1 года до 3 лет,65000 RUR,Владивосток
Middle Python разработчик,От 3 до 6 лет,220000 RUR,Москва
Middle Python developer / Python разработчик,От 3 до 6 лет,200000 RUR,Москва
Web fullstack developer,От 1 года до 3 лет,155555 RUR,Москва
Стажер-разработчик Big Data,Нет опыта,Не указана,Ульяновск
Фронтенд-разработчик в международный стартап по созданию бизнес-приложений на основе ChatGPT,От 1 года до 3 лет,50000 RUR,Ханты-Мансийск
Системный аналитик DWH,От 1 года до 3 лет,Не указана,Москва
Аналитик мониторинга нейронных сетей,От 1 года до 3 лет,Не указана,Москва
Руководитель направления бизнес-анализа,От 1 года до 3 лет,Не указана,Москва
Стажер-разработчик Big Data,Нет опыта,Не указана,Нижний Новгород
"Бэкенд разработчик (Python, Go)",От 3 до 6 лет,Не указана,Москва
Team Lead QA [EP Product Ordering],От 3 до 6 лет,Не указана,Москва
Системный администратор windows/linux,От 1 года до 3 лет,40000 RUR,Набережные Челны
QA Automation Engineer,От 1 года до 3 лет,Не указана,Санкт-Петербург
Разработчик Python,От 1 года до 3 лет,None RUR,Казань
Разработчик С++,От 3 до 6 лет,160000 RUR,Москва
Бизнес-аналитик,От 3 до 6 лет,150000 RUR,Санкт-Петербург
Аналитик систем мониторинга,От 1 года до 3 лет,Не указана,Москва
Программист,От 1 года до 3 лет,160000 RUR,Москва
Разработчик SQL,От 1 года до 3 лет,Не указана,Краснодар
Senior Frontend Developer (JavaScript),От 3 до 6 лет,230000 RUR,Москва
Инженер-программист,От 1 года до 3 лет,Не указана,Пермь
Middle+ бекенд веб-разработчик (Python или JS),От 3 до 6 лет,60000 RUR,Санкт-Петербург
Разработчик Python,От 3 до 6 лет,Не указана,Казань
RPA-разработчик (Lead),От 3 до 6 лет,Не указана,Москва
Python-разработчик,От 1 года до 3 лет,Не указана,Москва
C++ developer,От 3 до 6 лет,Не указана,Москва
Go разработчик,От 3 до 6 лет,180000 RUR,Ростов-на-Дону
Лингвист-аналитик в команду чат-бота,От 1 года до 3 лет,Не указана,Уфа
ML - Аналитик,От 1 года до 3 лет,Не указана,Санкт-Петербург
Web-программист (удаленно),От 1 года до 3 лет,30000 RUR,Иваново (Ивановская область)
Middle Python developer (remote),От 3 до 6 лет,Не указана,Москва
Лингвист-аналитик в команду чат-бота,От 1 года до 3 лет,Не указана,Казань
Программист Python/С++,От 1 года до 3 лет,Не указана,Москва
Python разработчик (удаленно),От 3 до 6 лет,Не указана,Москва
HR-аналитик / Аналитик данных в направлении HR,От 1 года до 3 лет,Не указана,Москва
Программист - разработчик,От 1 года до 3 лет,30000 RUR,Коломна
Программист С++,От 1 года до 3 лет,Не указана,Ростов-на-Дону
Аналитик в команду внедрения ботов,От 1 года до 3 лет,Не указана,Санкт-Петербург
Тестировщик,От 1 года до 3 лет,Не указана,Зеленоград
Python Backend Developer,От 3 до 6 лет,150000 RUR,Москва
Аналитик,От 3 до 6 лет,Не указана,Новосибирск
IT Support Manager/System Admin,От 1 года до 3 лет,Не указана,Москва
Web-програмист FullStack (junior-middle),От 1 года до 3 лет,60000 RUR,Москва
"Разработчик локальных приложений под ОС Windows, ОС Linux",От 1 года до 3 лет,100000 RUR,Москва
Тестировщик,От 1 года до 3 лет,Не указана,Санкт-Петербург
Программист С++ (отдел робототехники),От 3 до 6 лет,Не указана,Санкт-Петербург
Программист Python,От 1 года до 3 лет,60000 RUR,Чебоксары
Ведущий инженер по развитию ИТ-инфраструктуры,Более 6 лет,110000 RUR,Казань
Стажер-разработчик Big Data,Нет опыта,Не указана,Пенза
Тестировщик / QA (web) / Middle QA (web),От 1 года до 3 лет,Не указана,Томск
Junior BI Developer,От 1 года до 3 лет,Не указана,Москва
Python developer FinTech,От 3 до 6 лет,None USD,Москва
Data engineer/ETL Engineer,От 1 года до 3 лет,None RUR,Москва
Junior Container Security инженер,От 1 года до 3 лет,Не указана,Москва
Стажер-разработчик бэкенда,Нет опыта,Не указана,Санкт-Петербург
Ruby Developer,От 3 до 6 лет,Не указана,Москва
Go разработчик,От 1 года до 3 лет,Не указана,Москва
Fullstack-разработчик,От 3 до 6 лет,120000 RUR,Москва
Руководитель отдела разработки,От 3 до 6 лет,180000 RUR,Москва
Программист,От 1 года до 3 лет,70000 RUR,Екатеринбург
Python developer,От 1 года до 3 лет,Не указана,Санкт-Петербург
Инженер-программист,Нет опыта,32000 RUR,Калуга
Программист-разработчик,От 1 года до 3 лет,150000 RUR,Москва
Test Engineer (QA) junior+/ middle,От 1 года до 3 лет,70000 RUR,Краснодар
Backend-тестировщик-программист (Python),От 1 года до 3 лет,Не указана,Москва
Backend developer,От 3 до 6 лет,Не указана,Санкт-Петербург
Backend Game Server Developer,От 1 года до 3 лет,120000 RUR,Москва
Разработчик BI-систем,Нет опыта,Не указана,Ижевск
Фронтенд-разработчик,От 3 до 6 лет,150000 RUR,Москва
Разработчик Python,От 1 года до 3 лет,Не указана,Москва
"Разработчик Apps Script, PHP, Python / IT-специалист",От 1 года до 3 лет,80000 RUR,Москва
Лингвист-аналитик в команду чат-бота,От 1 года до 3 лет,Не указана,Саратов
Специалист технической поддержки,От 1 года до 3 лет,Не указана,Екатеринбург
Программист Power BI,От 1 года до 3 лет,Не указана,Ростов-на-Дону
Python-разработчик,От 1 года до 3 лет,Не указана,Владимир
Разработчик DWH,От 1 года до 3 лет,Не указана,Москва
Middle Python-разработчик,От 1 года до 3 лет,Не указана,Краснодар
Аналитик,От 3 до 6 лет,Не указана,Москва
C++ developer / Разработчик на С++,От 1 года до 3 лет,Не указана,Санкт-Петербург
Backend-разработчик,От 1 года до 3 лет,160000 RUR,Москва
Тестировщик ПО / QA engineer,От 3 до 6 лет,110000 RUR,Москва
Бизнес ассистент IT,От 1 года до 3 лет,65000 RUR,Москва
Разработчик Python,От 1 года до 3 лет,Не указана,Москва
Программист .Net,От 3 до 6 лет,100000 RUR,Ростов-на-Дону
Python-разработчик,От 3 до 6 лет,Не указана,Санкт-Петербург
Специалист отдела сопровождения банковских продуктов и систем L3,От 1 года до 3 лет,Не указана,Москва
Аналитик данных (BI),Нет опыта,Не указана,Москва
Младший программист 1С (Junior),Нет опыта,Не указана,Москва
"Back-end разработчик middle+ (python, Django)",От 3 до 6 лет,Не указана,Москва
Младший инженер-программист C++,От 1 года до 3 лет,None RUR,Нижний Новгород
Computer Vision Engineer,От 1 года до 3 лет,Не указана,Санкт-Петербург
Fullstack-разработчик (удаленно),От 1 года до 3 лет,60000 RUR,Москва
Java-разработчик,От 1 года до 3 лет,60000 RUR,Санкт-Петербург
Инженер DevOps,От 1 года до 3 лет,Не указана,Москва
Middle frontend разработчик (JavaScript / React / React Native),От 3 до 6 лет,60000 RUR,Москва
DevOps engineer,От 3 до 6 лет,Не указана,Москва
Разработчик Web-приложений,От 1 года до 3 лет,Не указана,Москва
Младший разработчик BI / стажер,Нет опыта,Не указана,Москва
Инженер технической поддержки,От 1 года до 3 лет,Не указана,Москва
Инженер-программист,От 1 года до 3 лет,Не указана,Нижний Новгород
Программист-разработчик,От 3 до 6 лет,120000 RUR,Москва
Программист-математик (С++),От 3 до 6 лет,Не указана,Москва
Middle Python-разработчик,Более 6 лет,210000 RUR,Новосибирск
Backend-разработчик,От 3 до 6 лет,Не указана,Санкт-Петербург
Python developer,От 1 года до 3 лет,Не указана,Москва
Программист Python,От 3 до 6 лет,None RUR,Москва
Python разработчик,От 3 до 6 лет,Не указана,Москва
Системный администратор Linux,От 3 до 6 лет,200000 RUR,Санкт-Петербург
Разработчик Python,От 1 года до 3 лет,Не указана,Москва
Python разработчик в команду CityLens,От 3 до 6 лет,Не указана,Санкт-Петербург
Стажер-программист 1С,Нет опыта,Не указана,Москва
FullStack разработчик Junior,Нет опыта,60000 RUR,Санкт-Петербург
QA Automation Engineer,От 1 года до 3 лет,180000 RUR,Казань
Senior Python Developer,От 3 до 6 лет,None RUR,Сочи
Программист,От 1 года до 3 лет,50000 RUR,Калининград
Python разработчик в команду CityLens,От 3 до 6 лет,Не указана,Новосибирск
Backend developer Middle/Middle+ (Разработчик Python),От 3 до 6 лет,150000 RUR,Тамбов
Backend-разработчик,От 1 года до 3 лет,Не указана,Екатеринбург
Стажер-разработчик бэкенда,Нет опыта,Не указана,Москва
Бизнес-аналитик,От 1 года до 3 лет,Не указана,Москва
Python разработчик (SmartVoice),От 1 года до 3 лет,Не указана,Москва
Разработчик Python (middle+),От 3 до 6 лет,Не указана,Москва
Инженер-разработчик Python,От 3 до 6 лет,Не указана,Москва
Инженер источников рентгеновского излучения,От 3 до 6 лет,200000 RUR,Москва
Python Developer (ML),От 3 до 6 лет,Не указана,Москва
Python/SQL developer,От 1 года до 3 лет,Не указана,Москва
Python разработчик,От 1 года до 3 лет,Не указана,Волгоград
Go разработчик (СберБизнес),От 1 года до 3 лет,Не указана,Москва
Аналитик,Нет опыта,38000 RUR,Барнаул
Data Engineer,Нет опыта,Не указана,Москва
Системный аналитик SQL,От 1 года до 3 лет,Не указана,Москва
Python разработчик,От 1 года до 3 лет,Не указана,Москва
"DevOps инженер, Cache",От 1 года до 3 лет,Не указана,Москва
Data Engineer,Нет опыта,Не указана,Тверь
Системный разработчик (Go),От 1 года до 3 лет,Не указана,Москва
Заместитель начальника отдела в департамент информационных технологий (разработчик/аналитик),От 3 до 6 лет,250000 RUR,Москва
Python-разработчик,От 3 до 6 лет,Не указана,Москва
Middle Backend-разработчик (Python),От 1 года до 3 лет,200000 RUR,Москва
"Application Security Lead (Кипр, Лимассол)",От 3 до 6 лет,6500 EUR,Москва
Project manager (образовательные проекты доменного обучения),От 3 до 6 лет,Не указана,Москва
Старший системный администратор/разработчик,От 3 до 6 лет,200000 RUR,Москва
Tech Lead,От 3 до 6 лет,Не указана,Санкт-Петербург
Программист-стажер 1С,Нет опыта,30000 RUR,Москва
RTL Designer / RTL Developer,Более 6 лет,250000 RUR,Москва
Python Разработчик,От 3 до 6 лет,None RUR,Москва
QA Engineer,От 1 года до 3 лет,Не указана,Екатеринбург
Продуктовый аналитик в Yandex Pay,От 1 года до 3 лет,Не указана,Москва
Разработчик RPA,От 1 года до 3 лет,Не указана,Москва
Middle Backend-разработчик,От 3 до 6 лет,Не указана,Санкт-Петербург
QA инженер (Python),От 1 года до 3 лет,Не указана,Москва
BI-аналитик данных в Спорт Тех,От 1 года до 3 лет,None RUR,Москва
Data Engineer,Нет опыта,Не указана,Ярославль
Руководитель проекта,От 3 до 6 лет,Не указана,Москва
"Project manager at economics and efficiency team, Yandex Delivery",От 1 года до 3 лет,Не указана,Москва
Продуктовый аналитик,От 1 года до 3 лет,Не указана,Москва
Middle Backend-разработчик (Python),От 1 года до 3 лет,200000 RUR,Казань
Программист,От 3 до 6 лет,10000 RUR,Сочи
Senior/Team Lead Data Scientist,От 3 до 6 лет,300000 RUR,Пенза
Python Developer (Удалённо),Более 6 лет,250000 RUR,Москва
Angular Frontend Developer (ADAS),От 3 до 6 лет,Не указана,Москва
Программист Python/C++,От 1 года до 3 лет,60000 RUR,Москва
QA Engineer / Тестировщик ПО,От 1 года до 3 лет,60000 RUR,Владимир
QA инженер (python),От 1 года до 3 лет,Не указана,Екатеринбург
Python разработчик,От 3 до 6 лет,Не указана,Санкт-Петербург
DevOps инженер,От 1 года до 3 лет,None RUR,Санкт-Петербург
Специалист по автоматизации тестирования / QA Engineer,От 1 года до 3 лет,Не указана,Рязань
Стажер-разработчик бэкенда,Нет опыта,Не указана,Екатеринбург
Frontend-разработчик Senior/Middle (платформа Состоятельные клиенты),От 3 до 6 лет,Не указана,Санкт-Петербург
Python разработчик,От 1 года до 3 лет,Не указана,Москва
Инженер данных,От 1 года до 3 лет,Не указана,Москва
Инженер-программист (Matlab/Simulink),От 1 года до 3 лет,95000 RUR,Москва
Python разработчик (Middle / Senior),От 3 до 6 лет,Не указана,Москва
Team Lead в полнотекстовый поиск,От 3 до 6 лет,400000 RUR,Москва
Server Infrastructure Engineer / Системный администратор Linux (GameDev-компания),От 3 до 6 лет,1800 EUR,Санкт-Петербург
ML разработчик,От 1 года до 3 лет,130000 RUR,Балашиха
Java-разработчик,От 3 до 6 лет,Не указана,Санкт-Петербург
Аналитик данных,От 1 года до 3 лет,Не указана,Москва
"Разработчик (C/C++, DDoS)",От 3 до 6 лет,Не указана,Москва
Инженер по тестированию,От 1 года до 3 лет,100000 RUR,Санкт-Петербург
ML-engineer/ АI-креативщик,От 3 до 6 лет,Не указана,Москва
CV/ML engineer,От 1 года до 3 лет,Не указана,Казань
Backend - разработчик Python,От 3 до 6 лет,None RUR,Москва
"Младший бизнес-аналитик продукта ""Внешние доставки"" (стажер)",Нет опыта,35000 RUR,Москва
Программист 3 категории,От 1 года до 3 лет,80000 RUR,Петропавловск-Камчатский
Инженер по тестированию,От 1 года до 3 лет,Не указана,Екатеринбург
Дежурный инженер DevOps (2/2),От 1 года до 3 лет,163000 RUR,Москва
BI-аналитик,От 1 года до 3 лет,Не указана,Москва
Senior QA Engineer (Tardis team),От 3 до 6 лет,Не указана,Санкт-Петербург
Руководитель отдела тестирования,От 3 до 6 лет,Не указана,Москва
Младший системный аналитик в домен Бэк-офис (стажер),Нет опыта,35000 RUR,Москва
Программист С++,Более 6 лет,Не указана,Москва
Разработчик Python,От 1 года до 3 лет,Не указана,Нижний Новгород
DevOps,От 1 года до 3 лет,Не указана,Москва
Разработчик Python / Computer Vision,От 1 года до 3 лет,None RUR,Москва
QA engineer (удаленно),От 1 года до 3 лет,Не указана,Москва
Программист 2 категории,От 1 года до 3 лет,90000 RUR,Петропавловск-Камчатский
Системный программист С,От 3 до 6 лет,Не указана,Москва
Инженер сопровождения (омниканальная платформа),От 3 до 6 лет,Не указана,Москва
Руководитель отдела разработки,От 3 до 6 лет,Не указана,Москва
Бизнес-аналитик,От 1 года до 3 лет,90000 RUR,Пермь
Tech Lead – Ведущий Frontend программист-разработчик – Senior Frontend Developer,От 3 до 6 лет,3000 USD,Москва
Python Разработчик,От 3 до 6 лет,Не указана,Москва
Fullstack developer,От 3 до 6 лет,Не указана,Москва
Разработчик GO (Рекламная платформа),От 1 года до 3 лет,Не указана,Москва
Веб-разработчик,От 1 года до 3 лет,150000 RUR,Москва
Специалист DevOps,От 1 года до 3 лет,Не указана,Магнитогорск
Разработчик RPA,От 1 года до 3 лет,Не указана,Санкт-Петербург
Python developer,От 3 до 6 лет,Не указана,Санкт-Петербург
Инженер-программист,Нет опыта,34400 RUR,Астрахань
Разработчик SQL,От 1 года до 3 лет,Не указана,Москва
Разработчик Desktop приложений,От 1 года до 3 лет,Не указана,Москва
Фронтенд-разработчик в международный стартап по созданию бизнес-приложений на основе ChatGPT,От 1 года до 3 лет,50000 RUR,Кемерово
Разработчик Python,От 3 до 6 лет,Не указана,Москва
Специалист по тестированию,От 1 года до 3 лет,Не указана,Пермь
Инженер по машинному обучению,От 3 до 6 лет,Не указана,Москва
Программист Python в команду ИИ (г. Тюмень),От 1 года до 3 лет,Не указана,Тюмень
"PHP-developer / PHP-разработчик (backend, удаленно)",От 1 года до 3 лет,60000 RUR,Томск
Python-разработчик в Яндекс Про,От 3 до 6 лет,300000 RUR,Москва
Математик-программист / Data Scientist,От 1 года до 3 лет,Не указана,Москва
Product Analyst Manager,От 1 года до 3 лет,240000 RUR,Москва
Middle python developer (RPA),От 1 года до 3 лет,Не указана,Москва
DevOps Engineer (Junior / Pre-middle),От 1 года до 3 лет,None RUR,Воронеж
С++ Linux Developer,От 3 до 6 лет,Не указана,Москва
Junior NLP Engineer [Кибербезопасность],От 1 года до 3 лет,Не указана,Москва
Программист Python Middle+,От 1 года до 3 лет,Не указана,Владивосток
Senior Python Developer (Удалённо),Более 6 лет,250000 RUR,Москва
Python Developer,От 3 до 6 лет,Не указана,Москва
Технический писатель,От 1 года до 3 лет,Не указана,Москва
Метеоролог в Яндекс Погоду,От 1 года до 3 лет,Не указана,Москва
Программист-разработчик,От 1 года до 3 лет,Не указана,Москва
Руководитель проекта,От 1 года до 3 лет,Не указана,Москва
Аналитик качества данных,От 1 года до 3 лет,Не указана,Казань
Middle Backend-разработчик (Python),От 1 года до 3 лет,200000 RUR,Санкт-Петербург
Менеджер проектов по повышению качества ИТ продуктов,От 1 года до 3 лет,Не указана,Москва
Стажер-разработчик бэкенда,Нет опыта,Не указана,Нижний Новгород
Data Scientist,От 1 года до 3 лет,Не указана,Москва
Data Engineer,Нет опыта,Не указана,Нижний Новгород
Системный администратор,От 1 года до 3 лет,Не указана,Москва
Team lead с ролью Аналитика/Разработчика SQL,От 3 до 6 лет,Не указана,Москва
Программист С++ Senior,От 3 до 6 лет,400000 RUR,Москва
"Робототехник (Robotics Engineer, Robotics Developer) с опытом разработки на языке Python",От 1 года до 3 лет,200000 RUR,Москва
Стажер-разработчик Big Data,Нет опыта,Не указана,Волгоград
Программист Python (от 3 лет),От 3 до 6 лет,Не указана,Москва
Backend разработчик (Python),От 1 года до 3 лет,Не указана,Москва
Python-разработчик,От 3 до 6 лет,150000 RUR,Омск
Инженер отдела технической поддержки,От 1 года до 3 лет,50000 RUR,Санкт-Петербург
Программист (Python или С++),От 1 года до 3 лет,Не указана,Пермь
"С++ Developer (robotics, geometry)",От 3 до 6 лет,Не указана,Москва
Специалист службы доступов и мониторинга,От 1 года до 3 лет,Не указана,Новосибирск
Разработчик Python,От 1 года до 3 лет,Не указана,Москва
Разработчик С (Си),От 1 года до 3 лет,Не указана,Москва
Инженер-программист,От 1 года до 3 лет,91700 RUR,Уфа
Python developer (Middle),От 1 года до 3 лет,None RUR,Саранск
Программист (C++ Middle),От 3 до 6 лет,Не указана,Москва
Middle Backend-разработчик (Python),От 1 года до 3 лет,200000 RUR,Ижевск
Python - разработчик (Middle/Senior),От 3 до 6 лет,Не указана,Ижевск
Программист Python,От 1 года до 3 лет,115000 RUR,Ярославль
Python разработчик|Python developer Middle+ (удаленно),От 1 года до 3 лет,150000 RUR,Нижний Новгород
Full-Stack Developer,От 1 года до 3 лет,Не указана,Москва
Инженер по тестированию (в офис) / QA engineer,От 3 до 6 лет,150000 RUR,Санкт-Петербург
Full Stack Developer,От 1 года до 3 лет,Не указана,Москва
Инженер сопровождения ИБ систем,От 1 года до 3 лет,Не указана,Москва
Python-разработчик,От 3 до 6 лет,Не указана,Москва
"Backend разработчик, python (уровень не ниже Middle)",От 3 до 6 лет,130000 RUR,Санкт-Петербург
Python разработчик (Middle),От 1 года до 3 лет,Не указана,Москва
Разработчик С++,От 1 года до 3 лет,Не указана,Санкт-Петербург
QA инженер по автоматизации на Python,От 1 года до 3 лет,Не указана,Москва
Ученик DevOps Engineer,Нет опыта,Не указана,Таганрог
Python разработчик,От 3 до 6 лет,Не указана,Нижний Новгород
Разработчик отдела разработки BI,От 1 года до 3 лет,Не указана,Ростов-на-Дону
Data Scientist,Более 6 лет,Не указана,Москва
Backend Developer,От 1 года до 3 лет,80000 RUR,Новосибирск
Аналитик-разработчик BI,От 1 года до 3 лет,Не указана,Воронеж
Аналитик,От 1 года до 3 лет,Не указана,Иваново (Ивановская область)
"Инженер данных (SQL, создание отчетов, аналитика)",От 1 года до 3 лет,Не указана,Санкт-Петербург
SQL разработчик,От 1 года до 3 лет,Не указана,Москва
Программист (Developer),От 1 года до 3 лет,Не указана,Москва
Full stack разработчик в крупную страховую компанию Дело Жизни,От 1 года до 3 лет,100000 RUR,Москва
Senior Python разработчик,Более 6 лет,350000 RUR,Самара
Solution архитектор в online кинотеатр KION,От 3 до 6 лет,Не указана,Москва
"Python Backend Developer (AI), Москва",От 3 до 6 лет,Не указана,Москва
Ведущий разработчик Python,От 3 до 6 лет,300000 RUR,Санкт-Петербург
DevOps engineer,От 3 до 6 лет,Не указана,Москва
Аналитик данных,От 3 до 6 лет,Не указана,Томск
Аналитик-разработчик (SberDevices),От 1 года до 3 лет,Не указана,Москва
Java разработчик (удаленка),От 3 до 6 лет,270000 RUR,Санкт-Петербург
Ведущий аналитик-исследователь,От 1 года до 3 лет,Не указана,Москва
Системный администратор Linux / DevOps,От 3 до 6 лет,200000 RUR,Москва
Backend разработчик (FastAPI),От 3 до 6 лет,Не указана,Москва
Администратор СУБД PostgreSQL DBA (СберБизнес),От 3 до 6 лет,Не указана,Москва
Разработчик машинного обучения в Еду,От 3 до 6 лет,Не указана,Москва
Программист Python,От 3 до 6 лет,None RUR,Москва
Аналитик - разработчик SQL / VBA / Python,От 3 до 6 лет,Не указана,Москва
Разработчик RPA,Нет опыта,Не указана,Воронеж
Senior QA-специалист,От 3 до 6 лет,Не указана,Москва
System Engineer (DevOps),От 1 года до 3 лет,Не указана,Москва
Инженер-программист,От 1 года до 3 лет,90000 RUR,Санкт-Петербург
Инженер-тестировщик / QA Automation engineer,От 1 года до 3 лет,180000 RUR,Москва
Python Developer,От 3 до 6 лет,Не указана,Ростов-на-Дону
Python-разработчик в команду IDM,От 3 до 6 лет,Не указана,Москва
Middle Product Analyst,От 3 до 6 лет,Не указана,Москва
Middle Python-разработчик,От 3 до 6 лет,None RUR,Москва
Data Engineer,Нет опыта,Не указана,Воронеж
Go-разработчик,От 1 года до 3 лет,Не указана,Москва
Prompt Engineer,От 1 года до 3 лет,Не указана,Москва
Разработчик Python,От 3 до 6 лет,Не указана,Москва
Python developer,От 1 года до 3 лет,Не указана,Уфа
Главный специалист (аналитик в департамент рисков),От 1 года до 3 лет,Не указана,Москва
Инженер-разработчик / инженер-программист / embedded developer,От 1 года до 3 лет,150000 RUR,Санкт-Петербург
Golang Developer (Уфа),От 3 до 6 лет,179500 RUR,Уфа
Инженер по информационной безопасности,От 1 года до 3 лет,Не указана,Москва
Программист Python/Go (в офис),От 1 года до 3 лет,Не указана,Екатеринбург
Python Developer,От 3 до 6 лет,Не указана,Москва
"Аналитик данных / Data Scientist, Middle, авиа",От 3 до 6 лет,Не указана,Москва
Python developer,От 1 года до 3 лет,Не указана,Москва
Middle+ Python-разработчик,От 3 до 6 лет,None RUR,Владивосток
Инженер-программист (программист),От 1 года до 3 лет,75000 RUR,Москва
Machine Learning Developer,От 3 до 6 лет,Не указана,Москва
Разработчик Python,От 3 до 6 лет,Не указана,Москва
Разработчик BigData/Python,От 1 года до 3 лет,Не указана,Москва
Java-разработчик (Middle+),От 3 до 6 лет,170000 RUR,Ижевск
Разработчик Python,От 3 до 6 лет,Не указана,Москва
QA Engineer (Auto),От 3 до 6 лет,130000 RUR,Самара
Программист 1С (ученик),Нет опыта,50000 RUR,Владивосток
Алго Дилер,Нет опыта,Не указана,Москва
Разработчик Python,От 1 года до 3 лет,Не указана,Санкт-Петербург
Python разработчик,От 3 до 6 лет,Не указана,Москва
Python разработчик для LLM,От 1 года до 3 лет,Не указана,Москва
Senior Python Developer,От 3 до 6 лет,250000 RUR,Москва
Python Developer,От 3 до 6 лет,None RUR,Москва
Python Back-end Разработчик / Python Back-end Developer,От 1 года до 3 лет,Не указана,Санкт-Петербург
С++ developer /Middle,От 3 до 6 лет,Не указана,Санкт-Петербург
Data Scientist (middle/senior),От 3 до 6 лет,None RUR,Москва
Аналитик/Разработчик SQL,От 1 года до 3 лет,Не указана,Москва
Инженер киберугроз / Cyber Threat Engineer,От 1 года до 3 лет,Не указана,Москва
Стажер - разработчик RPA (С#),Нет опыта,55000 RUR,Москва
Инженер-программист,Нет опыта,40000 RUR,Ростов-на-Дону
Senior Python Developer,От 3 до 6 лет,300000 RUR,Санкт-Петербург
Программист в сфере строительства,От 1 года до 3 лет,Не указана,Москва
Data scientist (Центр валидации моделей розничного бизнеса),От 1 года до 3 лет,Не указана,Москва
Разработчик C#,От 3 до 6 лет,200000 RUR,Москва
Системный администратор Linux,От 3 до 6 лет,None RUR,Владимир
Руководитель команды / Team Lead,От 3 до 6 лет,Не указана,Москва
Ведущий разработчик (RPA),От 1 года до 3 лет,Не указана,Москва
Middle Python Developer,От 1 года до 3 лет,Не указана,Москва
Python (Django) программист Middle,От 3 до 6 лет,100000 RUR,Красноярск
Инженер (веб-разработчик),Нет опыта,90000 RUR,Нерюнгри
Data Engineer,Нет опыта,Не указана,Ростов-на-Дону
DevOps-инженер,От 3 до 6 лет,Не указана,Москва
Программист QT / C++,Нет опыта,60000 RUR,Санкт-Петербург
"C++ Game Programmer (AI, Animation, логика игровых юнитов)",От 3 до 6 лет,Не указана,Санкт-Петербург
QA инженер / Тестировщик,От 1 года до 3 лет,Не указана,Москва
"Веб-разработчик / Программист (ПО, сайты, SEO, контент, техподдержка)",От 1 года до 3 лет,50000 RUR,Пермь
DevSecOps специалист,От 1 года до 3 лет,200000 RUR,Москва
Data Scientist,От 1 года до 3 лет,Не указана,Москва
Python разработчик,От 3 до 6 лет,Не указана,Москва
Инженер Linux,От 3 до 6 лет,Не указана,Москва
Системный администратор,От 1 года до 3 лет,None RUR,Москва
Разработчик Python,От 3 до 6 лет,Не указана,Уфа
ML разработчик,От 3 до 6 лет,Не указана,Москва
Network Security Engineer в Yandex Cloud,Нет опыта,Не указана,Москва
Data Scientist,От 3 до 6 лет,Не указана,Москва
Python разработчик (middle+ / senior),От 1 года до 3 лет,Не указана,Москва
Аналитик,От 1 года до 3 лет,Не указана,Москва
Младший инженер данных (ETL-разработчик) / стажер,Нет опыта,35000 RUR,Москва
Инженер-программист,От 1 года до 3 лет,Не указана,Липецк
Software Developer (Python) Odoo,От 1 года до 3 лет,Не указана,Казань
"Tech Lead (С++, Qt)",От 3 до 6 лет,Не указана,Москва
Программист SQL,От 1 года до 3 лет,100000 RUR,Новосибирск
Инженер-программист,От 1 года до 3 лет,70000 RUR,Каменск-Уральский
Web-программист,От 1 года до 3 лет,80000 RUR,Ульяновск
Middle .NET разработчик,От 1 года до 3 лет,Не указана,Москва
Middle Backend-разработчик (Python),От 1 года до 3 лет,200000 RUR,Воронеж
Python разработчик в продукт Data Quality (Big Data),От 3 до 6 лет,Не указана,Москва
Middle Data Engineer,От 1 года до 3 лет,Не указана,Москва
Разработчик на ЯП Python 3,От 1 года до 3 лет,Не указана,Москва
QA-специалист,От 3 до 6 лет,Не указана,Ульяновск
Разработчик систем мониторинга и автоматизации,От 1 года до 3 лет,Не указана,Москва
C++ Software Developer,От 3 до 6 лет,250000 RUR,Москва
Инженер (веб-разработчик),Нет опыта,90000 RUR,Воронеж
Программист Python,От 3 до 6 лет,185000 RUR,Москва
Python developer,От 1 года до 3 лет,Не указана,Санкт-Петербург
Middle BI developer [Beast],От 3 до 6 лет,Не указана,Москва
Разработчик Python (Middle/Senior),От 3 до 6 лет,Не указана,Тула
Разработчик (Frontend developer / Vue.js) junior+,От 1 года до 3 лет,100000 RUR,Тюмень
Менеджер проекта (Кампании продаж),От 3 до 6 лет,Не указана,Москва
Python Developer,От 3 до 6 лет,150000 RUR,Москва
Разработчик Python,От 3 до 6 лет,None RUR,Москва
Middle Fullstack Developer (Vue + Python),От 3 до 6 лет,Не указана,Москва
Инженер по тестированию,От 1 года до 3 лет,Не указана,Санкт-Петербург
Программист - автоматизатор (удаленно),От 1 года до 3 лет,Не указана,Москва
QA Engineer,От 1 года до 3 лет,Не указана,Москва
Разработчик ETL(Hadoop),От 1 года до 3 лет,Не указана,Москва
Python Разработчик,От 1 года до 3 лет,Не указана,Москва
C++ разработчик,От 3 до 6 лет,Не указана,Москва
Middle+/Senior Python разработчик [Управление задолженностью],От 3 до 6 лет,Не указана,Москва
Ведущий инженер по информационной безопасности,От 3 до 6 лет,Не указана,Екатеринбург
Инженер технической поддержки,От 1 года до 3 лет,Не указана,Самара
Программист С++ (Middle+),От 1 года до 3 лет,Не указана,Воронеж
Python - разработчик,От 1 года до 3 лет,100000 RUR,Санкт-Петербург
